id,description,jobflag
1375,Ensure that company procedures and standards are adhered to.,3
1376,Is able to take a technical leadership role,2
1377,Test and provide sustaining engineering for existing commercially available software solutions developed by the Custom Solutions team,3
1378,"Analyzing, extracting, and optimizing relevant information from large amounts of data to help drive business decisions on product features and operational efficiency",2
1379,Platform Subject Matter Expert: Is an expert at understanding how all of the parts of the Marketing and Communication Platform fit together and the key capability that they provide to the organization.,4
1380,Executes software test cases (both manual and automated),3
1381,Be willing to travel to present live in front of prospective clients and conduct product training when needed.,3
1382,"Supports, communicates, reinforces and defends the mission, values and culture of the organization",3
1383,Build project-specific configuration files.,3
1384,"Support definition, implementation, integration and sustainment of Central Security Services",3
1385,"Produce clear, understandable visualizations, dashboard and reports to share with Senior Leadership and business partners, provide the insightful story from the data perspective to risk policy owners.",1
1386,Work with Engineering to better refine automated provisioning through analysis of application patterns/workflow.,3
1387,Possess a solid machine-learning foundation,1
1388,"Design, develop, and implement novel computer vision algorithms for unique use cases.",2
1389,Lead governance of project pipeline and prioritization.,1
1390,"Abstracting and refactoring should be a passion, not a chore.",3
1391,Modify and debug moderately complex existing IT applications for use throughout the Company from detailed specifications.,3
1392,Help foster new client contacts and business opportunities and maintain existing client relationships.,3
1393,"Develop cloud-based SaaS applications in the supply chain domain (Proto-typing, Coding, Unit Test)",3
1394,Ability to perform light travel requirements as needed to meet business demands (on average 20%).,4
1395,Conduct end-to-end Causal & Predictive analysis of large scale healthcare data sets.,1
1396,Propose solution architectures and manage the deployment of cloud based distributed virtualized infrastructure solutions according to complex customer requirements and implementation best practices.,4
1397,Communicate the findings to peers and executives through effective data visualizations techniques.,1
1398,"Independently drive the success of a project by directing activities, ensuring high quality deliverables and timely submissions",4
1399,Work with appropriate stakeholders to identify and scope promising applications of machine learning,1
1400,"Ensure high quality, rigorous and readily interpretable deliverables are generated from RWE studies/analyses",1
1401,"Lead design trade-offs between thermal, packaging, NVH, and hardware/software solutions.",3
1402,Drive improvements in business outcomes by testing new and different strategies through systematic planning and execution of experiments,1
1403,explain and present analyses and machine learning concepts to a broad technical audience,2
1404,"Troubleshoot product, code and/or configuration issues on escalations from Technical Support.",3
1405,Participate in our AI-related open source library/package design and implementation.,2
1406,Work with internal and external teams to understand and resolve reported bugs,3
1407,"Supporting software development tasks including detailed software design, coding, and unit/integration testing of customer desired applications",3
1408,Perform other duties as required.,3
1409,"Apply machine learning, collaborative filtering, NLP, and deep learning methods to massive data sets.",1
1410,"Develop and execute test scripts using manual and automated testing as specified by DQ standards Document, communicate, and work to resolve all defects found during testing",3
1411,Analyze failures and fix bugs.,3
1412,"Be a champion for the company's analytics efforts both inside and outside of the organization, promoting collaboration and communication through business unit driven use cases whilst building the company's brand in the analytics space.",1
1413,Contribute towards a future roadmap,3
1414,"Work with proven open source tools, rather than bespoke custom implementations.",1
1415,a culture that focuses on supporting our employees,3
1416,"Selling at non-PNC locations requires: Access to a reliable vehicle transportation for travel to multiple work locations on a daily basis; and the ability to lift and carry up to 25 pounds (inclusive of, but not limited to, marketing materials, collateral and/or other promotional items as required).",4
1417,Assist with the evaluation of data analytic vendors and tools.,1
1418,"Interface effectively and respectfully with clients, coworkers, vendors and consultants",3
1419,Present information using data visualization techniques,1
1420,"Simplify, categorize, and consolidate cybersecurity requirements",3
1421,"Contributing to the functional and technical design, prototyping, and process design stages of implementations (including scenario design, flow mapping).",4
1422,Solving performance problems and troubleshooting back-end and front-end issues.,3
1423,Tests a complex API that references database back-end systems,3
1424,"Design, architect and implement server-side solutions",3
1425,Architect the next generation analytical platform.,1
1426,"Manage an effective R&D and innovation pipeline leveraging customer insights, disparate data sources, and advanced analytical techniques.",1
1427,"Focus on image/video analytics, edge computing projects by applying techniques in machine learning, deep learning, and statistical algorithms",1
1428,Work closely with the software engineering team to productize analytic software.,1
1429,Design and build the Minimum Viable Cloud Data Platform on Azure.,2
1430,Contributing using your awesome verbal and written communication skills.,3
1431,Deploy containerized applications to the preferred cloud provider,3
1432,Develop functional means for measuring the quality of healthcare members receive annually.,1
1433,"Reviewing, verifying and/or validating system specifications and other design-related documentation.",3
1434,Responsible for advancing all Big Data efforts.,1
1435,"Responds to the needs and questions of users concerning their efficient and effective use of IT Services hardware, software and resources.",3
1436,Troubleshoot remotely with customers to resolve technical issues.,3
1437,"Perform field inspections to evaluate the work performed, materials used and quality of workmanship",3
1438,Performs follows-up on pending estimates and maintains information in designated system.,4
1439,Collaborating with Senior Leadership to resolve some seriously complex technical design questions,3
1440,Conduct end-to-end Visualization analysis of large scale healthcare data sets,1
1441,Candidate will be responsible for leading design discussions for implementing the Oracle Policy Automation product,4
1442,"Apply simple and complex statistical theories and methods to explore, infer and predict;",1
1443,Supporting the organization's quality program,4
1444,"Technical Design- Able to identify, analyze, specify, design, and translate functional design to technical design. Create and document technical designs for medium to high complexity solutions that may include integration with external systems.",3
1445,Monitor team metrics and objectives ensuring meeting of goals.,3
1446,Implement and configure systems to best match a client existing and desired business processes.,3
1447,"Collaborate closely with other experts on the team, including the planning and systems engineering team.",2
1448,Assisting in the completion of appropriate client set-up and maintenance forms,4
1449,Strategize in collaboration with finance teams to identify data-driven solutions to ongoing needs across the organization.,1
1450,Redesign operational procedures & processes.,4
1451,"Recommendation algorithms/IR: Understand IR or ML really well can explain MF, latent, KNN, Community cluster",1
1452,"Plans, organizes, and implements effective strategies using all company programs, tools and initiatives to increase market share in Merchandise, Equipment, Technology, and Service",4
1453,"Research, prototype and develop innovative algorithms and solutions for real-time object detection, instance segregation and object tracking.",1
1454,Facilitate all phases of shared service payroll operations:,4
1455,Test software prior to installation to ensure we deliver high quality solutions every time,3
1456,The individual will be leading a four person workstream to transform the clients supply chain for end-user IT Hardware to enable an agency-wide IT Category Management approach,4
1457,"Analyze, interpret & clearly communicate the results of experiments to the business units",1
1458,"Receive and prioritize claims, questionnaires, determinations and other unemployment related data.",4
1459,Schedule and complete back-ups of all electronic machine controls and robotic programs on set schedule,3
1460,Lead application engineering effort from planning architecture to execution and delivery.,3
1461,Optimization of business processes,4
1462,Develop and evaluate the performance of predictive statistical models and machine learning algorithms,1
1463,"Work closely with data scientists, fellow ML engineers, and product management team to ensure our solutions deliver continuous values to end customers",2
1464,"Identify and build working relationships and partnerships with external collaborators, system vendors, and users",2
1465,"Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis, and data mining.",1
1466,Build high-performance ML pipelines,2
1467,Develops and maintains code and integrates software components into a fully functional software system,3
1468,Create data products for analytics and data scientist team members to improve their productivity,2
1469,Port and execute tests to run on a wide variety of operating systems and real-time embedded platforms.,3
1470,This role will work directly with application owners and business users providing guidance for established IAM standards.,4
1471,Resolve issues and prepare status reviews and reports.,3
1472,Perform automated data labeling to train AI models,1
1473,Lead and participate in incident response engagements to guide clients through forensic investigations contain security incidents and guide longer-term remediation recommendations.,4
1474,Participates in creation and execution of manual and automated test protocols,3
1475,"Strong project management skills, problem solving/critical thinking skills, and verbal and written communication skills.",4
1476,Recommend and lead changes to development and systems integration that will increase efficiency and development effectiveness.,3
1477,"Design, implementation and maintenance of IP blocks in Verilog",3
1478,Create enhanced technical documentation and implement changes.,3
1479,Coordinate with application development teams to integrate developed models with existing applications.,2
1480,Manage time effectively working on one or more concurrent projects.,3
1481,"The Data Scientist will have a strong interface with biosensor and engineering teams, as well as Clinical, Quality and Regulatory as needed to support bench-top, preclinical and clinical data analysis. Ensure the type and quality of data.",1
1482,Assist in training business users on data products/analytic environment.,4
1483,"Analyze data from disparate sources including images, video, radar, signals and more",2
1484,"Understand available data, including both in structured and unstructured formats, and recommend effective ways for storage and analytical processing in the cloud.",2
1485,Design and customize software for analytical use to optimize analytical efficiency and streamline the workflow,3
1486,"Build, maintain, and upgrade a platform for running machine learning models",2
1487,Be responsible for embedded code and integration on the target DSP multi core.,3
1488,Prior experience doing Training Delivery,4
1489,Meets financial requirements by submitting information for budgets; monitoring expenses.,3
1490,Develop a sound understanding of business and information technology processes,4
1491,Understand the requirements of customers within the project and strives to deliver these consistently,4
1492,Implement predictive modeling to create actionable outcomes,1
1493,Work with the client to identify opportunities beyond the scope of the current project.,4
1494,"Scope includes regional MMS Dispensing-Pyxis Capital Sales Contracts and Master Agreements for healthcare facilities including Hospitals and Regional Networks (e.g., IDN), Non-Acute facilities, etc. Excludes GPOs.",4
1495,"Define, create, and improve metrics and dashboards that precisely and accurately measure the pulse of the business",1
1496,Interact with and build relationships with clients and contribute to the successful winning and delivery of corporate consulting mandates,4
1497,"Implements data management and reporting/analytics capabilities, including report and dashboard development using industry standard products like Jasper, Tableau, etc.",3
1498,Provide input on the data architecture and be a contributor to the data governance framework for ViiV,1
1499,Supports software research and development projects,3
1500,"Defining tasks, timeline and required resources to deliver on the mechanical design portion of a project brief, with strong accountability for successful completion of agreed upon deliverables.",3
1501,"Collaboratively work with engineers, software developers, subject matter experts, and business representatives",1
1502,Analyzing the ML algorithms that could be used to solve a given problem and ranking them by their success probability,2
1503,"Delivery: Manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for large companies. Responsibilities include, among others, identification of business requirements, functional design, process design, prototyping, testing, training, and providing post-go-live support.",4
1504,Person should have strong foundation on Operating Systems concepts and C/C++ programming languages.,3
1505,"Responsible for coding, bug fixes, code reviews and documentation.",3
1506,"This effort will also include facilitated design workshops, change management, and communications with a wide number of stakeholders at various levels across the client",4
1507,Share all knowledge and training with internal colleagues and teams,4
1508,"Contribute in evolving a Customer's EAI and SOA vision by implementing methodologies, and procedures conforming to standard patterns and practices",4
1509,"Verifying data quality, and/or ensuring it via data cleaning",2
1510,"Participate in all corporate training, company initiatives and performance planning",3
1511,Plan and estimate development tasks and work to improve performance metrics,3
1512,"Provide leadership to the HR Unified Technologies organization     through mentoring, training, documenting, etc.",4
1513,"Train partners, clients and end-users in both classroom and one-on-one environments",4
1514,Collaborate with others in crafting and implementing your technical vision.,2
1515,Install product(s) or systems at customer sites and deliver training to customers in-house or abroad,3
1516,Participate in power electronics assembly process.,3
1517,"Maintain highest levels of development practices including: technical design, solution development, systems configuration, test documentation/execution, issue identification and resolution, writing clean, modular, and self-sustaining code.",3
1518,Lead digitization efforts to automate routine playbooks and always be on the lookout for opportunities for automation.,1
1519,"Work with data engineers to retrieve, clean and normalize data. Ensure scalable and continuous high-quality data stream",1
1520,Writes and executes data conversion/migration procedures for client projects,3
1521,"Perform deep dive and advanced data analysis using data science, machine learning concepts and statistical methodologies by leveraging programming languages such as R, Python and AutoML tools such as Datarobot.",1
1522,"Lead the research and development of advanced technologies for state-of-the-art of predictive simulation tools focusing on manufacturing capabilities. Coordinate efforts with outside partners and internal stakeholders and recommend the acquisition and development of additional software tools, equipment, and skills.",3
1523,Installation and configuration and maintenance of hardware and software,3
1524,"Be able to lead all aspects of development including design, task allocation, implementation, testing, documentation, ongoing support and maintenance.",3
1525,"Focus on customer satisfaction, retention and brand loyalty through every customer interaction.",4
1526,"Manage individual projects priorities, deadlines and deliverables with your technical expertise.",3
1527,Assist Sales Representative with the creation and execution of an overall sales strategy for an account.,3
1528,Examples of work include conducting Natural Language Processing or Sentiment Analyses on unstructured data sets,1
1529,"Apply appropriate standards, processes, procedures, and tools throughout the development life cycle.",3
1530,Provide weekly status reports - Perform regression testing and efficient O&M defect verification,3
1531,"Develop and implement statistical, machine learning, and heuristic techniques to create descriptive, predictive, and prescriptive analytics",1
1532,Applies knowledge of principles and techniques to solve technical problems,3
1533,Translate strategic analytics requirements into Analytics tools and infrastructure,2
1534,Code contributions to our deep learning framework,2
1535,Create presentation dashboards and implement analytical tools to enhance action of the discoveries,4
1536,"Help maintain code quality, organization, and automation",3
1537,Performs any additional duties assigned.,4
1538,Compare results from various methodologies and recommend best techniques to stake holders.,1
1539,Is able to work productively on a geographically distributed team,2
1540,"Gather input and requirements from technical staff, end users, and management",3
1541,Participate in the installation of application releases into production as directed.,4
1542,"Knows how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations",1
1543,"Use your strong Python coding skills to research, design, develop and expand upon algorithms that will train neural networks to deliver actionable intelligence faster and more effectively",2
1544,"Provide mentoring and training to peers, colleagues and partners;",4
1545,"Maintain chain of custody of sampling activity, analytical data and project recordkeeping (log book) in accordance with regulatory requirements and Chubb Global Risk Advisors' recordkeeping responsibilities.",4
1546,Coordinate with different functional teams to implement models and monitor outcomes.,2
1547,Plan and customize products to meet customer needs,4
1548,Troubleshoot and correct software defects,3
1549,Defining rough technology and system requirement to solve the problems,1
1550,Determine and communicate system requirements and capabilities in furtherance of the customer's mission,3
1551,Incorporate SME input into feature vectors suitable for analytic development and testing,1
1552,Provide on-going post implementation support to optimize user adoption and NetSuite configuration.,4
1553,Lead development efforts to build efficient feature capabilities to support proper data extraction & curation for analytical purposes,2
1554,Ability to work in Agile or Waterfall projects and has a thorough understanding of SDLC,4
1555,Develop training materials for end users on the system changes being implemented,4
1556,Maintains inventory of computer parts and log of all repairs and service performed.,4
1557,Build decision engine applications that simulate supply chain activities and select the path of highest profitability,1
1558,Coordinate with customers to optimize the gas processing solutions being offered.,3
1559,"Actively participate as a member of our Rock Application Development team in collaborating, conceiving and developing scalable, performant, secure solutions",3
1560,Work with clients to pre-verify the data elements needed,4
1561,Must be highly responsive and able to produce clinical content very quickly,1
1562,Create thoughtful solutions that engage and empower members to make more informed decisions about their health,1
1563,"Work with key stakeholders to create, draft, and communicate implementation standards to facilitate smoother operations and improve decision making.",4
1564,Conduct original research on critical technologies in computer vision and machine learning.,2
1565,"Write high quality, maintainable code",3
1566,Resolve Tax Reporter related issues during the year-end W-2 processing by collaborating with the respective teams,4
1567,Build complex advanced-level machine learning and advanced     analytics models.,1
1568,"Work in a cross-functional Scrum team, informing requirements and design and seeing it all through to implemented code in production.",3
1569,Works under immediate supervision.,3
1570,Develops and maintains a strong customer relationship and works to be recognized as a Trusted Advisor providing unbiased guidance,3
1571,Responsible for all reporting and history updating into the NS5 planned maintenance program,3
1572,"Test, debug, and refine software to meet customer requirements.",3
1573,Analyze retail and market level data to develop planogram schematics utilizing JDA Space Planning software platform.,4
1574,Owns the Dev-Ops function for the e-commerce development team,3
1575,Produce daily metrics and reports,1
1576,Log and track software change requests,3
1577,Work with cloud and data architects to define robust architecture in cloud setup pipelines and work flows.,2
1578,Build Novartis image analytics center of excellence to make it a team of international reputation,1
1579,"Work with Managers to develop an individual career development plan focused on skills and experience enhancements, customized career development plans, and achieving developmental milestones within the practice to further your progression within the firm.",4
1580,"Participates in development and preparation of design specifications and code reviews along with analyzing information to determine, recommend, and plan software requirement, specifications, and software component modifications.",3
1581,"Will create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have a material impact, in addition to being well-supported by analytical models and data.",1
1582,"Performs other duties as requested, direct, or assigned",3
1583,Work on a team of software engineers assigned to one of the programs mentioned above.,3
1584,Study and transform data science prototypes,2
1585,Working with customers to define networking and cyber-security design.,3
1586,Writing unit and functional tests within automated test environments to ensure code quality,3
1587,"Install and configure Docker images for Telegraf, InfluxDB, Grafana, Kapacitor on AWS cloud monitoring EC2.",3
1588,Work with cyber security engineers to design and develop next-generation cyber tools,3
1589,Partner in development of scalable solutions using large datasets with other data scientists on the team,1
1590,Creating a Data Quality Index to assess the quality of external datasets.,1
1591,Troubleshoot customer problems and develop solutions,3
1592,"Leverage the optimum machine learning techniques for predictions in various Business Units such as Procurement, Sales, Marketing, Operations, etc. to enhance revenue and reduce costs.",1
1593,"Work closely with software engineers and architects to extract, transform and standardize data for optimal use for analytic tools",1
1594,Thorough and accurate documentation of all customer inquiries and transactions.,4
1595,Perform related tasks as required.,3
1596,Facilitate process discussions with customer and our technical services team.,4
1597,Assess the effectiveness and accuracy of new data sources and data gathering techniques,1
1598,"Software development experience on real time (Linux, QNX, VxWorks) or embedded systems.",3
1599,"Improve business awareness of existing Service Catalog offerings and potential IT Services to enable transparency and unprecedented levels of value and customer satisfaction. Support reporting on IT budget, cost, value, and opportunities to optimize IT spend (initiatives and support services).",4
1600,Work with pre-sales personnel and channel partners to address relevant business requirements,4
1601,Integrate machine learning algorithms with other applications and services,2
1602,Collaborate with the digital and DSAI teams,1
1603,Analyze and extract relevant information from large amounts of historical data - provide hands-on data wrangling expertise,2
1604,"Design and develop machine learning applications and solutions tailored to machine health diagnostics, prognostics, and automation",2
1605,"Working with version control systems (Git, TFS, Bitbucket, etc.).",3
1606,Build dashboards highlighting the key trends of the data.,1
1607,Translate these concept/solution ideas into testable hypotheses that address key technical risk factors.,3
1608,Support ad hoc analysis requests,1
1609,Document software problems and verify fixes,3
1610,Write strong functional and technical specifications for client enhancements,4
1611,System verification prior to system release to customer,3
1612,Assist sales in the qualification of customer needs through discovery;,4
1613,Deriving technical parameters and specifications from measured data,1
1614,"Work as a member of an agile team to enhance and improve software written in one or more of the following languages: C#, C++, Java, Javascript, Scala, Python, Golang",3
1615,Responsible for the administration and upkeep of the vessel Planned Maintenance System,3
1616,Support ad hoc projects as assigned by management,4
1617,"Provide solutions to business problems of prospective customers and participate in meetings, presentations, and whiteboard sessions.",4
1618,"Researching, rating and implementing development tools",1
1619,Travel up to 30% of the time as necessary.,3
1620,"Depending on experience level, candidate will be required to produce and maintain documentation such as designs and plans. The successful candidate will be expected to provide technical and project leadership to other staff members.",3
1621,Establish and maintain data dictionary,1
1622,"Design, code, and test applications/executables to define requirements, and develop release documentation, as required.",3
1623,Identify the most appropriate algorithm for a given data set and tune input and model parameters,1
1624,"Establish a universal standard, process, and repository of predictive and machine learning models to support team documentation and organizational sharing.",1
1625,"Supervise day-to-day staff management issues, including resource management, work allocation, mentoring/coaching and other duties and functions as assigned",2
1626,Creating and Finding available datasets online that could be used for training,2
1627,Setup of dashboards and recurring reports that provide useful ongoing updates to all businesses,1
1628,"Create and deliver technical presentations to support the design and development of robot systems, including requirement and design reviews.",3
1629,"Generate sales in your territory for assigned retail stores by demonstrating products, conducting store events, corporate events, and side by side selling with store personnel.",4
1630,Provide management consulting advisory services in the commercial insurance industry across business functions with a focus on Risk Engineering and Underwriting,4
1631,"Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities",1
1632,Develop and maintain documentation to clarify architecture requirements and rationale,2
1633,Use complex algorithms to develop systems & applications that deliver business functions or architectural components.,1
1634,"Conduct exploratory data analysis, data munging / cleaning, and create informative visualizations",1
1635,"Work with camera, laser, radar, and ultrasound data and curate datasets for machine learning.",2
1636,"Design, develop, and debug automated tests for embedded software systems",3
1637,Monitor network performance; troubleshooting network problems and outages,3
1638,Interacting with customers to understand and pose relevant data analysis problems.,1
1639,Organizing internal resources appropriate for each customer opportunity,4
1640,Develop and champion best-in-class sales training,3
1641,Define software requirements and test plans,3
1642,"Provide oversight as well as hands-on development, leading by example.",3
1643,Executes statistical and mathematical analyses to support business decision making.,1
1644,Provide continuing education to the technical staff of our partners via webinars and on-site shadowing of implementations.,3
1645,"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies.",4
1646,Architect software solutions and systems,3
1647,Perform DevOps and orchestration for all data hub and analytical processes.,2
1648,Participate in testing reviews.,3
1649,"Will be required to support business development, marketing and proposal development efforts",4
1650,Stays abreast of latest technology and regularly reviews potential paths of change with IT management,4
1651,"Data exploration and model building targeting given CTQs (ex: field issue investigations, developing tracking filters, inspections, root cause analysis, etc.)",1
1652,"Provide support for existing electronic and software products, as required by both the company and its customers. Duties will include training, technical consulting and application of technical knowledge.",3
1653,Testing and debugging system behavior in collaboration with Control Engineers,3
1654,Accountable for the business relationship management of assigned client counterparts and will work closely with those persons to scope and shape IT project intent that advance business value driven strategies,4
1655,"Design, build, deploy, and support scalable statistical and machine learning models",1
1656,"Lead and execute network, web application, wireless, and social engineering penetration tests that will vary in level of complexity from simple to potentially complex",4
1657,Design and develop web-based software applications and components in various software languages,3
1658,Develop multiple custom data models to drive innovative business solutions.,1
1659,"Involved with the design, development, analysis, testing and debugging of computer software applications and/or systems",3
1660,"Develop and update technical documentation for solution architecture, business continuity planning, and training purposes",3
1661,"Reviews customer specifications and requirements, and under direction develops designs to best support them, including cost as a key design variable",3
1662,Ability to learn existing training materials in order to deliver training,4
1663,Follow established implementation standards and service delivery requirements.,4
1664,"Helping define product features, drive the system architecture, and spearhead the best practices that enable a quality product",2
1665,Be a lifelong learner and develop your skills continuously.,3
1666,"Focus on building and executing against a strategy and roadmap focused on moving from monolithic, tightly coupled, batch based legacy platforms to a loosely coupled, event-driven, microservices-based architecture to meet our long term business goals.",3
1667,Prepare system and programming documentation.,3
1668,Provide creative direction in the development of marketing materials as needed,4
1669,"Developes, updates and maintains site validation procedures and related records",3
1670,"Analyze results of tests and interact with development engineers, architects/PM and test community in the resolution/root causing of test failures",3
1671,Prepares accurate and complete on-site moving estimates for individuals planning to move within the state. Follows pricing guidelines as established by the company.,4
1672,Work alongside the development team enhancing their product development using test automation/modeling/simulation tools,3
1673,"Developing, deploying, and debugging cloud-based applications",3
1674,Assisting with design changes and SW updates,3
1675,Able to verify the control software in lab and support field trial,3
1676,Development of mass and energy balances,3
1677,Work effectively at all levels of the organization to influence     and move toward consensus.,4
1678,"Build data into everything - and analyze it to find efficiencies, make automatons, and predict outcomes.",1
1679,Apply Machine Learning / Artificial Intelligence to retrieve relevant results with optimal ranking.,2
1680,Adherence to Standards - Ability to create solutions that adhere to and incorporate company standards.,3
1681,"Become an expert who understands solar and energy efficiency, giving you the ability to show customers how to reduce their energy cost at no additional cost.",4
1682,Working on audit work papers for compliance with department policy and IIA standards,4
1683,"Analyze current programs including performance, diagnosis, and troubleshooting of problem programs as designed innovative solutions to improve their efficiency.",3
1684,"Develop and Deploy advanced Machine Learning, Reinforcement learning and Deep Learning Models/algorithms to enhance existing business processes with predictive and intelligent decision making.",1
1685,Routine software installation and upgrades,4
1686,Develops materials to explain project findings.,1
1687,"Identify, assess, estimate, and solve complex business challenges, where analysis of situations/scenarios or data requires an in-depth evaluation of variable factors including security.",3
1688,"Evolve skills, solutions, and the organization to predictive & prescriptive analytics",1
1689,Presenting results to management executives.,1
1690,Understand challenges and best practices in the logistics domain and implement best in class solutions,3
1691,Prepare the specifications and technical details to fully define performance of the solution.,3
1692,Act as champion of the project by ensuring resolution of issues escalated by project manager or team members and raising awareness at senior level,3
1693,Interact and work with open source community members,3
1694,"Represent DMA as a subject matter expert on real world data, its use incl. study methodologies and capabilities.",1
1695,Characterize aspects of our ML system and recommend ways it can be improved,1
1696,"Problem solve with practice leaders to translate the business program into a solvable Data Science problem, formulate different approaches, outline pros and cons for each approach",1
1697,"Lead major portions of large, medium and small projects",4
1698,Help the team adopt SDLC Automation/DevOps to maximize ROI of technology investments Key Skills:  Proficiency in C#,3
1699,Created operational runbooks for new solutions deployed within the customer environment.,4
1700,"Responsible for Batch execution, monitoring and support of batch cycles across multiple test environments.",4
1701,"Work in collaboration across Product, Operations and Business Development work streams to define and deliver on ambitious acquisition and conversion goals",4
1702,Able to understand business drivers and challenges involved in implementation,4
1703,Additional responsibilities or changes in job responsibilities may be added as the department and company changes or as needs require; this job description provide a summary of key job responsibilities.,3
1704,Maintain quality and ensure responsiveness of products,3
1705,Innovate with new technologies and existing strategic platforms to deliver quality products,3
1706,Experience building normalized and reporting databases.,3
1707,Collaborate and contribute in R&D activates via high-quality and productivity scripts;,2
1708,Understand and adhere to our EHS Policy,3
1709,Lead engagement efforts with Data Analysts & Data Scientists to deliver advanced AI/ML solutions,2
1710,Determine each customer's vehicle needs and wants by asking questions and listening.,4
1711,"Provide on-going production support in our payroll and Time Management modules, resolve tickets and collaborate with appropriate teams to implement and test system fixes",4
1712,"Collects requests for new technologies, formulates solutions, estimates effort and budget, and develops business cases to support change",4
1713,System modeling in Matlab and Simulink,3
1714,"Partners with the Functional Solutions Architect to ensure the solutions for the finance, accounting and related business operations are sound and work well with the solutions being implemented throughout the project as a whole",4
1715,Inputs into the data quality and integrity review strategy for the study.,1
1716,Support the incorporation of RWE methods and perspectives into global development strategies,1
1717,"Working within an engagement team, a Senior NetSuite Consultant is responsible for identifying business requirements, requirements management, functional design, prototyping, process design (including scenario design, flow mapping), testing, training, defining support procedures, leading work streams and supporting implementations",4
1718,Take ownership of assigned design and development tasks for current and future generation of products,3
1719,"Deliver product trainings and presentations to SMEs, IT teams, and C-suite executives",4
1720,"Drive innovation by identifying and formulating new problems, publishing papers, filing patents, etc.",2
1721,"Review code for team members, providing in-depth comments and constructive feedback",3
1722,"Sourcing, cleansing, structuring and ingesting new data sources",1
1723,Being the primary client support for Evertz' DreamCatcher product,3
1724,Develop experiments to collect data or models to simulate data when required data are unavailable,1
1725,Generation of product demo scripts and scenarios and maintaining demonstration environment(s);,4
1726,Conduct exploratory data analysis,1
1727,Represent team in portfolio prioritization discussions for each supported business team.,4
1728,"Coach, mentor, and train others.",3
1729,Works under close supervision,3
1730,Able to quickly assess material issues based on past experience with other projects,4
1731,"Lead our company and client teams to identify maximum, sustainable results.",4
1732,"Determine high-level performance test scope, timeframes and environment needs",3
1733,Co-work on features with global teams.,3
1734,Drive tooling and infrastructure improvements for cloud-based ML deployments,2
1735,Respond to customer requirements and mitigate customer needs,4
1736,Providing continuous support and maintenance for numerous web properties,3
1737,"Manages, evaluates quality, and optimizes spacecraft procedures, tools, and the processes needed for efficient execution of operational activities.",3
1738,Utilize the latest C++ / C# techniques in code development,3
1739,"Innovation: Promote a culture of innovation that shares technology effectively and responsibly; you will refine and embody a cross-functional Engineering culture that works for all departments, encouraging knowledge transfer and professional growth.",3
1740,Share knowledge with other software engineers and management by documenting work,3
1741,"Assist in developing software standards, measuring performance, and identifying opportunities to improve the team's capabilities for future efforts.",3
1742,Write automated tests for Python code.,1
1743,Leveraging relationships with referral endorser partners and key industry partners,4
1744,"Maintenance, enhancement, and development of modules.",4
1745,Developing the points of value to deliver throughout the HR Service Transformation effort,4
1746,"Design and develop novel deep learning vision algorithms for object detection / segmentation, and related areas with state-of-the-art models. Be the lead and extremely hands-on at the same time.",2
1747,"Ensure Compliance with applicable OSHA, PHMSA, FMCSA, EPA, TCEQ, Federal, State, and local requirements",4
1748,"Perform scope, design and code reviews to ensure quality.",3
1749,Take ownership of data models and solutions by communicating and advocating their use to the Head of People Analytics;,1
1750,"Helps gather and assist PM in processing of ""time and material"" billings as required.",3
1751,Working with external PCT 5G UE collaboration partners predominately Qualcomm,3
1752,"Build the libraries and frameworks that support large, complex web applications for our product.",3
1753,Participate in various stages of software development including deployment/trouble shooting (for current products),3
1754,"Have a solid working knowledge of equipment including combustion turbines, boilers, steam turbines, generators, transformers, air quality control equipment",4
1755,"Develop cloud-based SaaS applications in the saas product domain(Proto-typing, Coding, Unit Test).",3
1756,"Deal with enormous amounts of video data, and developing solutions in a distributed setting",2
1757,Peer review job results with colleagues.,3
1758,Defines and configures our STEP platform,4
1759,"Write moderately complex code/scripts to test systems, implementing test harnesses and infrastructure as necessary",3
1760,"You will be responsible for innovation to evangelize our product based systems as the easiest to design with, and use, in the world",3
1761,"Accountable to develop, share, and leverage best practices across IT.",4
1762,"Architect, design, and develop systems software and interfaces upon which the Xcalar compute engine is built.",3
1763,Experience developing applications (graphical and non-graphical) and drivers for embedded Linux,3
1764,You will monitor production systems and provide on-call support.,3
1765,"Research machine learning (including deep learning) approaches and apply them to tackle real-world problems in construction project life cycle, including but not limited to knowledge extraction from unstructured data, construction site object detection and tracking etc.",2
1766,"Release Management: Improving release quality, tools and processes",3
1767,"Innovate and recommend advanced predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.",1
1768,Explore the state-of-the-art technologies and apply them to deliver customer benefits.,2
